Date,Distributor_ID,SKU_ID,Primary_Billing_Value,Secondary_Sales_Value,Inventory_Units,Inventory_Days,Credit_Outstanding,Credit_Days,Scheme_Active,Competitor_Price_Index
2025-12-01,D001,SKU23,40991.15,35567.96,510,13,240371.6,30,Yes,0.31
2025-12-01,D002,SKU06,44766.33,44271.98,641,15,204207.62,30,No,0.46
2025-12-01,D002,SKU02,42203.31,36763.25,821,21,151112.18,29,Yes,0.35
2025-12-01,D002,SKU52,40625.39,35523.55,676,24,138558.05,28,No,0.53
2025-12-01,D003,SKU25,56567.09,52579.93,678,17,217238.32,28,Yes,0.51
2025-12-01,D004,SKU53,38087.06,38428.41,266,22,186972.62,32,Yes,0.44
2025-12-01,D004,SKU28,33750.38,30005.73,300,12,219782.91,28,Yes,0.37
2025-12-01,D004,SKU43,27090.04,28121.94,308,15,254333.83,25,No,0.53
2025-12-01,D005,SKU19,76018.83,68744.48,336,18,449248.47,24,Yes,0.41
2025-12-01,D005,SKU05,62687.99,62054.99,464,25,232672.11,23,Yes,0.33
2025-12-01,D006,SKU65,43394.52,41969.23,323,12,233643.91,32,Yes,0.44
2025-12-01,D006,SKU31,51365.6,49265.95,201,13,233814.56,25,No,0.4
2025-12-01,D006,SKU11,72709.1,74968.19,706,19,130738.6,25,Yes,0.32
2025-12-01,D007,SKU44,20460.12,19639.79,356,18,150925.45,22,Yes,0.52
2025-12-01,D008,SKU21,37324.13,33923.86,712,16,243803.95,28,Yes,0.47
2025-12-01,D008,SKU54,50564.11,52674.68,742,22,112817.55,29,No,0.4
2025-12-01,D009,SKU04,53235.19,47433.04,429,12,169035.87,31,Yes,0.37
2025-12-01,D009,SKU65,70630.22,60698.15,258,23,171944.17,27,No,0.31
2025-12-01,D010,SKU28,30556.83,27026.42,669,20,232040.93,30,No,0.31
2025-12-01,D010,SKU26,22082.74,19162.09,691,13,214396.17,24,No,0.42
2025-12-01,D010,SKU64,22674.09,20924.87,259,22,308657.01,25,Yes,0.47
2025-12-01,D011,SKU43,37460.36,39232.35,456,21,322269.84,31,No,0.36
2025-12-01,D011,SKU11,29959.38,26381.38,274,18,236740.75,32,Yes,0.34
2025-12-01,D011,SKU31,31207.35,32123.39,703,17,197347.89,26,Yes,0.43
2025-12-01,D012,SKU58,75530.75,78375.85,533,15,251581.93,26,Yes,0.32
2025-12-01,D012,SKU55,84209.03,73931.7,547,19,417469.42,27,Yes,0.35
2025-12-01,D012,SKU27,45984.64,40597.69,243,12,422685.51,29,Yes,0.47
2025-12-01,D013,SKU45,34652.21,35750.35,307,13,277318.29,30,Yes,0.4
2025-12-01,D013,SKU60,46145.51,47966.26,528,14,187878.66,27,Yes,0.45
2025-12-01,D013,SKU57,30104.06,30839.35,452,17,349846.29,26,No,0.44
2025-12-01,D014,SKU08,33156.29,33156.03,494,21,205617.15,32,Yes,0.52
2025-12-01,D014,SKU32,32380.51,30580.59,746,16,281646.33,32,No,0.32
2025-12-01,D014,SKU13,57084.98,53697.43,357,16,272981.53,23,Yes,0.41
2025-12-01,D015,SKU06,22554.56,21834.15,686,14,294983.53,26,Yes,0.46
2025-12-01,D015,SKU64,26893.04,25828.33,435,23,343679.69,27,Yes,0.37
2025-12-01,D015,SKU09,31950.81,29875.37,469,20,223822.67,29,Yes,0.37
2025-12-01,D016,SKU33,30667.16,27675.66,331,22,375455.91,28,Yes,0.31
2025-12-01,D017,SKU69,56692.55,55496.86,202,17,373019.14,24,Yes,0.39
2025-12-01,D018,SKU11,50636.28,45251.15,361,23,325297.09,29,Yes,0.5
2025-12-01,D018,SKU64,54240.29,56352.76,610,20,232956.6,22,No,0.45
